Column,Tributary_m2,Nd_grav_kN,Nd_combo_kN,Cap_kN,Utilization,Rho_est
C01,36.00,1656.0,2088.0,3780.0,0.552,0.024
C02,42.00,1932.0,2436.0,3780.0,0.644,0.027
C03,42.00,1932.0,2436.0,3780.0,0.644,0.027
C04,42.00,1932.0,2436.0,3780.0,0.644,0.027
C05,42.00,1932.0,2436.0,3780.0,0.644,0.027
C06,36.00,1656.0,2088.0,3780.0,0.552,0.024
C08,42.00,1932.0,2436.0,3780.0,0.644,0.027
C09,42.00,1932.0,2436.0,3780.0,0.644,0.027
C10,42.00,1932.0,2436.0,3780.0,0.644,0.027
C11,42.00,1932.0,2436.0,3780.0,0.644,0.027
C12,36.00,1656.0,2088.0,3780.0,0.552,0.024
C13,36.00,1656.0,2088.0,3780.0,0.552,0.024
C14,44.00,2024.0,2552.0,3780.0,0.675,0.028
C15,44.00,2024.0,2552.0,3780.0,0.675,0.028
C16,44.00,2024.0,2552.0,3780.0,0.675,0.028
C17,44.00,2024.0,2552.0,3780.0,0.675,0.028
C18,36.00,1656.0,2088.0,3780.0,0.552,0.024
C19,44.00,2024.0,2552.0,3780.0,0.675,0.028
C20,44.00,2024.0,2552.0,3780.0,0.675,0.028
C21,44.00,2024.0,2552.0,3780.0,0.675,0.028
C22,44.00,2024.0,2552.0,3780.0,0.675,0.028
C23,36.00,1656.0,2088.0,3780.0,0.552,0.024
C24,50.00,2300.0,2900.0,3780.0,0.767,0.030
C25,58.00,2668.0,3364.0,3780.0,0.890,0.032
C26,58.00,2668.0,3364.0,3780.0,0.890,0.032
C27,58.00,2668.0,3364.0,3780.0,0.890,0.032
C28,58.00,2668.0,3364.0,3780.0,0.890,0.032
C29,58.00,2668.0,3364.0,3780.0,0.890,0.032
C30,50.00,2300.0,2900.0,3780.0,0.767,0.030
C31,62.00,2852.0,3596.0,3780.0,0.951,0.032
C32,62.00,2852.0,3596.0,3780.0,0.951,0.032
C33,62.00,2852.0,3596.0,3780.0,0.951,0.032
C34,62.00,2852.0,3596.0,3780.0,0.951,0.032
C35,52.00,2392.0,3016.0,3780.0,0.798,0.031
C36,34.00,1564.0,1972.0,3780.0,0.522,0.024
C37,38.00,1748.0,2204.0,3780.0,0.583,0.025
C38,40.00,1840.0,2320.0,3780.0,0.614,0.026
